Metric,AES-GCM,AES_StdDev,ChaCha20-Poly1305,ChaCha_StdDev
Avalanche_%,49.759765625,2.1727551897926176,49.9375,2.1483262999229553
Entropy_64B,5.875,0,5.632659765557392,0
Entropy_1KB,7.82902014788156,0,7.813470008196064,0
Entropy_10KB,7.983650779580828,0,7.98376733367262,0
